Date,average_temp,high_temp,low_temp
2001-10-30,14.16320546,19.82055074,9.951007337
2001-10-31,14.21983603,19.37424998,10.37502832
2001-11-01,12.38408092,17.68620431,6.246540092
2001-11-02,8.53771972,14.92516534,2.345833835
2001-11-03,9.539690531,15.26994118,5.547563641
2001-11-04,8.725872095,15.71366302,1.719009075
2001-11-05,9.295541383,12.67703907,6.118647418
2001-11-06,5.677718086,10.41193675,1.313410118
2001-11-07,5.347812017,13.09615364,-0.871051133
2001-11-08,8.209935486,15.81634693,1.33273948
2001-11-09,9.999130764,16.20286969,5.876102214
2001-11-10,8.261086768,15.39766264,3.095178849
2001-11-11,8.186457229,14.59952569,3.201225125
2001-11-12,7.604883486,13.42084607,2.736990862
2001-11-13,5.630511976,10.54839501,1.494870372
2001-11-14,4.704675466,11.56957276,-0.79067084
2001-11-15,5.123019791,11.13871194,-0.453199639
2001-11-16,7.272948263,12.10826818,2.071503371
2001-11-17,6.85050196,13.25256896,1.872262156
2001-11-18,5.754344389,13.52278533,-0.091491894
2001-11-19,6.686711993,14.91006171,0.618053891
2001-11-20,7.415172483,15.35690115,1.206520277
2001-11-21,7.892317842,15.04841882,2.640077857
2001-11-22,7.72854191,14.28175055,3.216448266
2001-11-23,8.513556249,15.47792402,3.914074722
2001-11-24,8.895754352,15.07966702,3.238630419
2001-11-25,5.436850488,10.50303841,1.188988761
2001-11-26,1.445039294,5.740748567,-1.867801144
2001-11-27,1.713848389,6.175430475,-3.102788794
2001-11-28,6.9345293,11.10561759,2.013990203
2001-11-29,7.360312355,9.378047069,4.92334375
2001-11-30,3.234090142,7.439783038,-0.828904753
2001-12-01,3.02983344,9.360820847,-2.336314966
2001-12-02,3.29827527,8.511237655,-1.443864561
2001-12-03,2.748523428,5.07063622,0.688625118
2001-12-04,3.217790935,8.683308158,-0.807255707
2001-12-05,3.07439132,6.720156125,0.474691209
2001-12-06,1.436672117,5.187457912,-1.929615999
2001-12-07,0.000765,5.25717037,-4.853644805
2001-12-08,2.23301282,8.113749868,-2.227053284
2001-12-09,2.367782535,7.077331619,-2.342382555
2001-12-10,3.126752895,8.752632477,-1.431565751
2001-12-11,5.223531919,11.61431872,-0.052017262
2001-12-12,5.832735941,10.49238098,1.814902359
2001-12-13,0.367929926,5.940768372,-3.6882445
2001-12-14,-2.797025682,0.604555973,-5.739201729
2001-12-15,-3.385635091,0.197357857,-6.65151311
2001-12-16,-2.580615925,2.389177269,-7.458451451
2001-12-17,-0.813765044,3.997044343,-4.962537556
2001-12-18,-2.968445741,2.220098503,-7.11786239
2001-12-19,-2.431856027,3.466583989,-7.293461807
2001-12-20,-0.694399951,4.699125464,-5.805570723
2001-12-21,-0.395991414,2.639258773,-3.004639281
2001-12-22,-1.87514351,2.670538504,-5.687556153
2001-12-23,-1.528208331,4.228979867,-6.41500107
2001-12-24,-0.585982555,4.983965651,-5.07572248
2001-12-25,0.583702857,6.276356637,-4.0726528
2001-12-26,-0.093833307,4.777172233,-4.023873294
2001-12-27,-0.441221138,4.41098764,-4.529200606
2001-12-28,-1.140734707,4.802769663,-5.646191762
2001-12-29,-0.050463438,4.788610391,-4.892538459
2001-12-30,-2.613372564,0.715025941,-5.854420969
2001-12-31,-0.580568732,5.106744415,-7.052106945
2002-01-01,-2.073951732,3.188997444,-5.398452018
2002-01-02,-6.938243286,-4.052259443,-9.664337007
2002-01-03,-4.48773024,0.749425413,-11.18633285
2002-01-04,3.448100703,8.018076366,-2.166211106
2002-01-05,0.449261971,4.338783355,-4.39340482
2002-01-06,-0.359979069,6.7948583,-7.009494157
2002-01-07,-0.96049567,5.275273295,-4.919542298
2002-01-08,-4.332582405,-1.578106468,-6.216038211
2002-01-09,-2.368612819,3.211049858,-7.927772756
2002-01-10,2.79558031,8.231558004,-3.304669653
2002-01-11,4.083696331,10.13519053,-0.548846014
2002-01-12,4.838545142,12.06970126,-1.411419515
2002-01-13,7.61420946,12.10688571,3.013571719
2002-01-14,10.40413969,14.24244288,6.956573965
2002-01-15,11.9804259,14.22392417,9.658822543
2002-01-16,7.134528739,11.94641997,3.74196446
2002-01-17,2.935971472,5.867466193,0.564633373
2002-01-18,2.286504561,6.765140456,-0.984764678
2002-01-19,4.033757204,9.636905937,0.355408764
2002-01-20,2.546432041,6.023403861,-0.199702457
2002-01-21,0.872836527,4.01860127,-1.760422385
2002-01-22,-2.536829225,-0.067110976,-4.219141383
2002-01-23,-2.671142851,0.718838328,-5.126748907
2002-01-24,-2.061154824,2.882693156,-6.220522973
2002-01-25,-1.672731679,4.502135895,-7.641355448
2002-01-26,1.140816246,3.674231482,-1.996269447
2002-01-27,0.509442266,3.1946193,-2.525041638
2002-01-28,-1.697307358,1.692048374,-4.109676455
2002-01-29,-1.36833477,3.008436362,-6.0115414
2002-01-30,0.046669642,3.690504203,-3.248433714
2002-01-31,-1.742261221,3.164187322,-6.115027207
2002-02-01,0.345034162,6.800281358,-5.813004837
2002-02-02,2.416535693,9.090361431,-2.280590315
2002-02-03,2.167007076,9.886679144,-3.627976389
2002-02-04,2.386472347,8.409146842,-2.747074647
2002-02-05,4.109435532,10.45371632,-0.917185851
2002-02-06,4.801656127,10.62208676,-0.593049339
2002-02-07,3.984750767,10.04568355,-0.926178405
2002-02-08,2.088820031,7.762284736,-3.648459743
2002-02-09,-0.934023727,2.913705115,-4.965574819
2002-02-10,-0.208332713,3.89600678,-3.868875169
2002-02-11,-1.376440219,4.065049174,-5.752423542
2002-02-12,-0.866931623,4.36748548,-6.357753722
2002-02-13,0.555894161,6.028823886,-4.514080117
2002-02-14,0.461886187,6.841908517,-5.185559966
2002-02-15,0.939267343,7.949408813,-5.368190393
2002-02-16,2.540020821,8.633143146,-3.244062496
2002-02-17,3.233923414,8.469323815,-1.106139609
2002-02-18,-0.8039814,3.199716187,-3.893187639
2002-02-19,-0.545000648,4.993875003,-5.255371658
2002-02-20,2.261046475,10.14925396,-5.307976177
2002-02-21,2.705664677,6.215267906,-1.432352882
2002-02-22,4.550911276,9.913825868,1.061426602
2002-02-23,4.180364681,10.3126732,-0.370469468
2002-02-24,4.284399896,11.61596118,-2.113483079
2002-02-25,5.218346777,10.54597649,0.114576549
2002-02-26,5.98263451,11.98528864,1.426661117
2002-02-27,5.863785472,11.04394688,1.552848964
2002-02-28,5.911167789,11.89230423,1.674098904
